t_ms,ax,ay,az,gx,gy,gz
458694.0,256.0,-652.0,15116.0,-94.0,-48.0,19.0
1362648.0,412.0,-524.0,15124.0,-116.0,-28.0,25.0
1362752.0,364.0,-632.0,15248.0,-85.0,-40.0,35.0
1362856.0,400.0,-624.0,15152.0,-103.0,-38.0,27.0
1362960.0,420.0,-552.0,15236.0,-77.0,-22.0,10.0
1363069.0,412.0,-676.0,15200.0,-97.0,-43.0,42.0
1363173.0,384.0,-584.0,15040.0,-95.0,-37.0,16.0
1363277.0,376.0,-608.0,15284.0,-99.0,-29.0,25.0
1363381.0,404.0,-576.0,15164.0,-98.0,-37.0,23.0
1363485.0,416.0,-596.0,15120.0,-113.0,-41.0,25.0
1363589.0,368.0,-616.0,15112.0,-108.0,-44.0,38.0
1363693.0,408.0,-632.0,15180.0,-101.0,-39.0,24.0
1363797.0,328.0,-628.0,15116.0,-95.0,-63.0,10.0
1363901.0,456.0,-656.0,15136.0,-97.0,-27.0,42.0
1364005.0,392.0,-652.0,15144.0,-91.0,-28.0,17.0
1364109.0,360.0,-572.0,15212.0,-103.0,-22.0,9.0
1364213.0,368.0,-508.0,15160.0,-99.0,-26.0,12.0
1364317.0,448.0,-628.0,15112.0,-102.0,-38.0,23.0
1364421.0,424.0,-568.0,15204.0,-100.0,-25.0,24.0
1364525.0,380.0,-576.0,15184.0,-95.0,-49.0,11.0
1364629.0,440.0,-544.0,15088.0,-81.0,-36.0,42.0
1364733.0,432.0,-556.0,15200.0,-104.0,-45.0,38.0
1364837.0,420.0,-592.0,15264.0,-95.0,-28.0,11.0
1364941.0,376.0,-620.0,15212.0,-106.0,-37.0,2.0
1365045.0,344.0,-656.0,15188.0,-97.0,-56.0,28.0
1365154.0,400.0,-588.0,15144.0,-76.0,-34.0,26.0
1365258.0,348.0,-608.0,15144.0,-97.0,-42.0,18.0
1365362.0,460.0,-668.0,15148.0,-91.0,-33.0,23.0
1365466.0,352.0,-632.0,15212.0,-107.0,-28.0,31.0
1365570.0,392.0,-684.0,15068.0,-108.0,-49.0,34.0
1365674.0,364.0,-612.0,15324.0,-82.0,-15.0,16.0
1365778.0,376.0,-600.0,15180.0,-95.0,-31.0,30.0
1365882.0,424.0,-528.0,15144.0,-91.0,-29.0,43.0
1365986.0,512.0,-512.0,15120.0,-83.0,-6.0,38.0
1366090.0,500.0,-588.0,15120.0,-94.0,-30.0,8.0
1366194.0,448.0,-636.0,15160.0,-77.0,-40.0,-5.0
1366298.0,368.0,-596.0,15340.0,-112.0,-59.0,32.0
1366402.0,436.0,-564.0,15164.0,-98.0,-28.0,18.0
1366506.0,364.0,-656.0,15216.0,-105.0,-60.0,0.0
1366610.0,472.0,-560.0,15140.0,-101.0,-46.0,29.0
1366714.0,456.0,-544.0,15220.0,-111.0,-54.0,42.0
1366818.0,324.0,-640.0,15164.0,-122.0,-47.0,49.0
1366922.0,408.0,-612.0,15092.0,-83.0,-41.0,3.0
1367026.0,440.0,-596.0,15044.0,-90.0,-68.0,20.0
1367130.0,352.0,-596.0,15200.0,-114.0,-13.0,27.0
1367239.0,468.0,-572.0,15224.0,-111.0,-40.0,24.0
1367343.0,428.0,-660.0,15140.0,-76.0,-26.0,11.0
1367447.0,356.0,-568.0,15108.0,-91.0,-54.0,37.0
1367551.0,396.0,-636.0,15276.0,-103.0,-36.0,23.0
1367655.0,436.0,-640.0,15160.0,-98.0,-48.0,21.0
1367759.0,240.0,-608.0,15300.0,-87.0,-39.0,18.0
1367863.0,460.0,-500.0,15184.0,-105.0,-26.0,23.0
1367967.0,368.0,-620.0,15272.0,-111.0,-47.0,8.0
1368071.0,316.0,-668.0,15136.0,-91.0,-49.0,37.0
1368175.0,368.0,-588.0,15096.0,-94.0,-28.0,38.0
1368279.0,340.0,-608.0,15144.0,-108.0,-47.0,25.0
1368383.0,368.0,-552.0,15012.0,-108.0,-47.0,25.0
1368487.0,504.0,-632.0,15032.0,-105.0,-39.0,15.0
1368591.0,364.0,-628.0,15256.0,-112.0,-14.0,32.0
1368695.0,440.0,-612.0,15272.0,-106.0,-23.0,16.0
1368799.0,352.0,-528.0,15156.0,-88.0,-38.0,23.0
1368903.0,384.0,-656.0,15328.0,-94.0,-49.0,0.0
1369007.0,360.0,-628.0,15260.0,-91.0,-41.0,31.0
1369111.0,364.0,-640.0,15072.0,-97.0,-53.0,18.0
1369215.0,368.0,-660.0,15044.0,-95.0,-44.0,26.0
1369324.0,464.0,-572.0,15212.0,-116.0,-52.0,28.0
1369428.0,396.0,-620.0,15088.0,-102.0,-38.0,39.0
1369532.0,308.0,-576.0,15028.0,-107.0,-48.0,23.0
1369636.0,384.0,-600.0,15140.0,-92.0,-35.0,10.0
1369740.0,512.0,-576.0,15284.0,-93.0,-45.0,26.0
1369844.0,404.0,-616.0,15068.0,-85.0,-26.0,43.0
1369948.0,476.0,-548.0,15156.0,-90.0,-59.0,20.0
1370052.0,348.0,-536.0,15156.0,-98.0,-40.0,19.0
1370156.0,460.0,-592.0,15076.0,-89.0,-27.0,21.0
1370260.0,488.0,-608.0,15228.0,-111.0,-8.0,15.0
1370364.0,284.0,-520.0,15032.0,-107.0,-38.0,35.0
1370468.0,492.0,-632.0,15056.0,-99.0,-37.0,14.0
1370572.0,440.0,-580.0,15240.0,-112.0,-24.0,30.0
1370676.0,420.0,-576.0,15112.0,-104.0,-47.0,37.0
1370780.0,492.0,-636.0,15124.0,-98.0,-66.0,19.0
1370884.0,364.0,-608.0,15204.0,-100.0,-38.0,20.0
1370988.0,448.0,-644.0,15252.0,-94.0,-59.0,47.0
1371092.0,280.0,-556.0,15124.0,-95.0,-34.0,26.0
1371196.0,312.0,-624.0,15240.0,-98.0,-40.0,24.0
1371300.0,436.0,-556.0,15164.0,-94.0,-55.0,29.0
1371409.0,468.0,-524.0,15088.0,-105.0,-43.0,23.0
1371513.0,408.0,-620.0,15240.0,-92.0,-21.0,23.0
1371617.0,-1264.0,-4192.0,19240.0,1329.0,-2805.0,446.0
1371721.0,1116.0,-2488.0,17792.0,2893.0,1122.0,-716.0
1371825.0,-176.0,876.0,12832.0,7198.0,21152.0,-780.0
